Dataset,DMU,Efficiency
Train,0,0.9671043329562272
Train,1,inf
Train,2,inf
Train,3,0.9810222231945241
Train,4,0.9996459254132185
Train,5,0.9524961590592386
Train,6,0.8213572600178891
Train,7,0.9976995044825641
Train,8,0.9996455256965879
Train,9,0.996715523335951
Train,10,0.9981149600863809
Train,11,inf
Train,12,0.9527695008573972
Train,13,0.9847426921506259
Train,14,0.9424180675868311
Train,15,0.8688844653015334
Train,16,inf
Train,17,0.9921891890470648
Train,18,0.8338471221350889
Train,19,0.6710229476427635
Train,20,0.9979911436269933
Train,21,0.9759217654268589
Train,22,0.9266330842481827
Train,23,0.9226960625329576
Train,24,inf
Train,25,0.8867861415899507
Train,26,inf
Train,27,0.9995682864570793
Train,28,0.9896132175908104
Train,29,0.9828433875427156
Train,30,inf
Train,31,0.982362950299213
Train,32,0.9797754746522287
Train,33,0.8062044202253471
Train,34,0.9099797110923614
Train,35,0.9980534962662319
Train,36,0.6438412496083031
Train,37,0.9701071192281052
Train,38,inf
Train,39,0.9968039475031207
Train,40,0.33205879207172445
Train,41,0.9442846557426152
Train,42,0.9904936382574602
Train,43,inf
Train,44,inf
Train,45,0.9980154462850622
Train,46,0.9766656030778249
Train,47,0.9401700241078398
Train,48,inf
Train,49,0.7036753455872765
Train,50,0.855789389546601
Train,51,0.9996455256965879
Train,52,inf
Train,53,0.12418660104812249
Train,54,0.81372308173531
Train,55,0.9913727766854503
Train,56,inf
Train,57,0.996687608402236
Train,58,0.9650891544535438
Train,59,0.9866468205947526
Train,60,inf
Train,61,0.9971852452083503
Train,62,0.7893795610844402
Train,63,0.9847917623350831
Train,64,0.9808307420602488
Train,65,0.9983607914165731
Train,66,0.9995670874944063
Train,67,0.843375404272
Train,68,0.6219944837797211
Train,69,0.9830247356548183
Train,70,0.9995928658257491
Train,71,0.1126794564009492
Train,72,0.9576372866420038
Train,73,0.9967107548379593
Train,74,0.8113707443401617
Train,75,0.9897038143086034
Train,76,0.9720950397878501
Train,77,0.9996418283329083
Train,78,0.7502858213836562
Train,79,0.8896679216618926
Train,80,0.9840101305810964
Train,81,0.9834447887703194
Train,82,0.890784557608329
Train,83,0.9951251802793655
Train,84,inf
Train,85,0.9977902936157584
Train,86,0.9003456066645743
Train,87,inf
Train,88,inf
Train,89,0.6913277086910954
Train,90,0.16373971554940128
Train,91,inf
Train,92,0.9560771466298232
Train,93,0.8597997612336064
Train,94,0.9786076370539996
Train,95,0.9995864710769156
Train,96,0.9986065444279053
Train,97,0.9868170128437195
Train,98,0.9011965908093449
Train,99,0.9995990608167065
Train,100,0.8789898999665545
Train,101,0.9964058644064994
Train,102,0.9979397533791489
Train,103,0.999560992811957
Train,104,0.9761330586494907
Train,105,0.999646524988764
Train,106,0.9419134236508997
Train,107,0.9681720224813416
Train,108,0.9825072445171674
Train,109,0.996537431042101
Train,110,0.9918087507087714
Train,111,0.9889032202941136
Train,112,0.9849719869042064
Train,113,0.8514204119018697
Train,114,0.9584726393441899
Train,115,0.9996392302018202
Train,116,0.9304444398128988
Train,117,inf
Train,118,0.9876342268986923
Train,119,0.9911777253026265
Train,120,0.7187023971959108
Train,121,0.8592077297076829
Train,122,0.9931066481339725
Train,123,0.9809656370680232
Train,124,0.9996407291219536
Train,125,0.9828444501231013
Train,126,0.990892705146994
Train,127,0.8652494284811213
Train,128,inf
Train,129,0.23004798962097087
Train,130,0.9569895405828162
Train,131,0.735002710689997
Train,132,0.980073536877619
Train,133,0.990282261143176
Train,134,0.7007057859028507
Train,135,0.9479530186900313
Train,136,0.9968576057693334
Train,137,0.9856527401491154
Train,138,0.9594005665260346
Train,139,0.9139472091296745
Train,140,0.900906338804027
Train,141,0.9261718760130004
Train,142,0.9682668923115832
Train,143,0.9690717833139987
Train,144,inf
Train,145,0.8687725946032541
Train,146,0.9237373526500362
Train,147,0.9379490431043861
Train,148,0.935261480872453
Train,149,0.7769349759810552
Train,150,0.9993559151127099
Train,151,0.9903771980307736
Train,152,0.7899126885807931
Train,153,0.9995620918475616
Train,154,0.9996466249180915
Test,0,0.6835209723714671
Test,1,0.9169482385470185
Test,2,0.9979464258448963
Test,3,0.8284406319974755
Test,4,0.9958608041536159
Test,5,0.9699041647393863
Test,6,0.8736136188675381
Test,7,0.9996459254132185
Test,8,inf
Test,9,0.999028544643189
Test,10,inf
Test,11,0.9944395910267738
Test,12,0.9731087242700323
Test,13,0.7925248422855751
Test,14,0.9963034154377014
Test,15,inf
Test,16,0.4946727944753755
Test,17,inf
Test,18,0.8010410329263911
Test,19,0.9812184967536385
Test,20,0.9406582896029133
Test,21,0.9996238415484252
Test,22,inf
Test,23,0.9929609987757784
Test,24,0.969352185811631
Test,25,0.888230650761298
Test,26,0.9528272385103804
Test,27,0.9716538452083523
Test,28,0.2051121327518541
Test,29,0.9996411288347483
Test,30,0.9996330347129568
Test,31,0.6277435531992573
Test,32,0.9996402294814095
Test,33,0.9996467248474389
Test,34,0.9996269392262807
Test,35,inf
Test,36,0.9661552903330463
Test,37,0.9930531956749752
Test,38,0.27624544429825537
